_id,table,county,product,chronic_flag,chronic_number_v2,chronic_condition,count,med_oop_member,p25th_oop_member,p75th_oop_member,med_claim_ct,p25th_claim_member,p75th_claim_member
58,dashboard_1,Los Angeles,All,No chronic condition,,,3607712,0,,,4,,
59,dashboard_1,Los Angeles,All,All,,,6858215,0,,,8,,
60,dashboard_1,Los Angeles,All,With chronic condition,,,3250503,0,,,14,,
61,dashboard_1,Madera,All,With chronic condition,,,55505,5,,,13,,
62,dashboard_1,Madera,All,All,,,109433,0,,,8,,
63,dashboard_1,Madera,All,No chronic condition,,,53928,0,,,4,,
64,dashboard_1,Marin,All,With chronic condition,,,93129,180,,,16,,
65,dashboard_1,Marin,All,No chronic condition,,,97770,15,,,5,,
66,dashboard_1,Marin,All,All,,,190899,55,,,9,,
67,dashboard_1,Mariposa,All,With chronic condition,,,6278,290.77,,,17,,
68,dashboard_1,Mariposa,All,No chronic condition,,,4184,0,,,4,,
69,dashboard_1,Mariposa,All,All,,,10462,47.4,,,10,,
70,dashboard_1,Mendocino,All,No chronic condition,,,27350,0,,,5,,
71,dashboard_1,Mendocino,All,All,,,62237,0,,,10,,
72,dashboard_1,Mendocino,All,With chronic condition,,,34887,120.69,,,17,,
73,dashboard_1,Merced,All,With chronic condition,,,88953,0,,,16,,
74,dashboard_1,Merced,All,All,,,195921,0,,,8,,
75,dashboard_1,Merced,All,No chronic condition,,,106968,0,,,5,,
76,dashboard_1,Modoc,All,All,,,5244,0,,,11,,
77,dashboard_1,Modoc,All,No chronic condition,,,2179,0,,,5,,
78,dashboard_1,Modoc,All,With chronic condition,,,3065,269.7,,,17,,
79,dashboard_1,Mono,All,All,,,6741,81,,,8,,
80,dashboard_1,Mono,All,No chronic condition,,,3659,0,,,5,,
81,dashboard_1,Mono,All,With chronic condition,,,3082,485.44,,,14,,
82,dashboard_1,Monterey,All,With chronic condition,,,132634,99.34,,,16,,
83,dashboard_1,Monterey,All,All,,,270169,0,,,8,,
84,dashboard_1,Monterey,All,No chronic condition,,,137535,0,,,4,,
85,dashboard_1,Napa,All,With chronic condition,,,51882,77.64,,,15,,
86,dashboard_1,Napa,All,No chronic condition,,,51503,0,,,5,,
87,dashboard_1,Napa,All,All,,,103385,20,,,9,,
88,dashboard_1,Nevada,All,No chronic condition,,,29323,0,,,4,,
89,dashboard_1,Nevada,All,With chronic condition,,,38157,361.37,,,17,,
90,dashboard_1,Nevada,All,All,,,67480,100,,,9,,
91,dashboard_1,Orange,All,All,,,2103733,15,,,7,,
92,dashboard_1,Orange,All,With chronic condition,,,988891,60,,,14,,
93,dashboard_1,Orange,All,No chronic condition,,,1114842,0,,,4,,
94,dashboard_1,Placer,All,No chronic condition,,,146297,10,,,4,,
95,dashboard_1,Placer,All,With chronic condition,,,144144,125.81,,,14,,
96,dashboard_1,Placer,All,All,,,290441,40,,,8,,
97,dashboard_1,Plumas,All,All,,,11729,129.24,,,10,,
98,dashboard_1,Plumas,All,With chronic condition,,,6988,469.68,,,15,,
99,dashboard_1,Plumas,All,No chronic condition,,,4741,0,,,4,,
100,dashboard_1,Riverside,All,No chronic condition,,,899341,0,,,4,,
101,dashboard_1,Riverside,All,All,,,1663449,0,,,7,,
102,dashboard_1,Riverside,All,With chronic condition,,,764108,7.2,,,14,,
103,dashboard_1,Sacramento,All,All,,,1170948,0,,,7,,
104,dashboard_1,Sacramento,All,With chronic condition,,,547434,30,,,13,,
105,dashboard_1,Sacramento,All,No chronic condition,,,623514,0,,,4,,
106,dashboard_1,San Benito,All,With chronic condition,,,19845,140,,,15,,
107,dashboard_1,San Benito,All,All,,,40784,15,,,8,,
108,dashboard_1,San Benito,All,No chronic condition,,,20939,0,,,4,,
109,dashboard_1,San Bernardino,All,No chronic condition,,,834823,0,,,4,,
110,dashboard_1,San Bernardino,All,All,,,1504398,0,,,7,,
111,dashboard_1,San Bernardino,All,With chronic condition,,,669575,0,,,13,,
112,dashboard_1,San Diego,All,All,,,2025628,15,,,7,,
113,dashboard_1,San Diego,All,No chronic condition,,,1045053,0,,,4,,
114,dashboard_1,San Diego,All,With chronic condition,,,980575,50,,,13,,
115,dashboard_1,San Francisco,All,All,,,545565,15,,,8,,
116,dashboard_1,San Francisco,All,No chronic condition,,,283623,0,,,5,,
117,dashboard_1,San Francisco,All,With chronic condition,,,261942,40,,,13,,
118,dashboard_1,San Joaquin,All,With chronic condition,,,257477,20,,,13,,
119,dashboard_1,San Joaquin,All,All,,,564195,0,,,7,,
120,dashboard_1,San Joaquin,All,No chronic condition,,,306718,0,,,4,,
121,dashboard_1,San Luis Obispo,All,With chronic condition,,,101842,328.21,,,15,,
122,dashboard_1,San Luis Obispo,All,No chronic condition,,,82516,0,,,4,,
123,dashboard_1,San Luis Obispo,All,All,,,184358,92.43,,,9,,
124,dashboard_1,San Mateo,All,With chronic condition,,,218582,83,,,13,,
125,dashboard_1,San Mateo,All,No chronic condition,,,254591,0,,,5,,
126,dashboard_1,San Mateo,All,All,,,473173,20,,,8,,
127,dashboard_1,Santa Barbara,All,No chronic condition,,,150755,0,,,4,,
128,dashboard_1,Santa Barbara,All,All,,,289493,0,,,8,,
129,dashboard_1,Santa Barbara,All,With chronic condition,,,138738,215,,,15,,
130,dashboard_1,Santa Clara,All,All,,,1229315,8.71,,,7,,
131,dashboard_1,Santa Clara,All,No chronic condition,,,703393,0,,,5,,
132,dashboard_1,Santa Clara,All,With chronic condition,,,525922,50,,,14,,
133,dashboard_1,Santa Cruz,All,With chronic condition,,,97697,110,,,16,,
134,dashboard_1,Santa Cruz,All,No chronic condition,,,93322,0,,,5,,
135,dashboard_1,Santa Cruz,All,All,,,191019,15,,,10,,
136,dashboard_1,Shasta,All,All,,,129206,21.83,,,11,,
137,dashboard_1,Shasta,All,With chronic condition,,,72339,269.91,,,19,,
138,dashboard_1,Shasta,All,No chronic condition,,,56867,0,,,5,,
139,dashboard_1,Sierra,All,All,,,1623,240.4,,,9,,
140,dashboard_1,Sierra,All,With chronic condition,,,976,445.37,,,14,,
141,dashboard_1,Sierra,All,No chronic condition,,,647,29.78,,,4,,
142,dashboard_1,Siskiyou,All,All,,,32551,20,,,10,,
143,dashboard_1,Siskiyou,All,No chronic condition,,,13250,0,,,4,,
144,dashboard_1,Siskiyou,All,With chronic condition,,,19301,300,,,16,,
145,dashboard_1,Solano,All,With chronic condition,,,157628,40,,,14,,
146,dashboard_1,Solano,All,All,,,325658,5,,,8,,
147,dashboard_1,Solano,All,No chronic condition,,,168030,0,,,4,,
148,dashboard_1,Sonoma,All,With chronic condition,,,186089,80,,,15,,
149,dashboard_1,Sonoma,All,No chronic condition,,,183345,0,,,5,,
150,dashboard_1,Sonoma,All,All,,,369434,20,,,9,,
151,dashboard_1,Stanislaus,All,All,,,389428,0,,,7,,
152,dashboard_1,Stanislaus,All,No chronic condition,,,207213,0,,,4,,
153,dashboard_1,Stanislaus,All,With chronic condition,,,182215,10,,,13,,
154,dashboard_1,Sutter,All,No chronic condition,,,30202,0,,,5,,
155,dashboard_1,Sutter,All,With chronic condition,,,36045,99.68,,,16,,
156,dashboard_1,Sutter,All,All,,,66247,0,,,10,,
157,dashboard_1,Tehama,All,With chronic condition,,,20869,157.59,,,15,,
158,dashboard_1,Tehama,All,All,,,39073,0,,,9,,
159,dashboard_1,Tehama,All,No chronic condition,,,18204,0,,,5,,
160,dashboard_1,Trinity,All,No chronic condition,,,3710,0,,,5,,
161,dashboard_1,Trinity,All,All,,,8362,0,,,10,,
162,dashboard_1,Trinity,All,With chronic condition,,,4652,296.73,,,18,,
163,dashboard_1,Tulare,All,All,,,340777,0,,,9,,
164,dashboard_1,Tulare,All,With chronic condition,,,175483,0,,,15,,
165,dashboard_1,Tulare,All,No chronic condition,,,165294,0,,,5,,
166,dashboard_1,Tuolumne,All,All,,,33702,168.1,,,11,,
167,dashboard_1,Tuolumne,All,No chronic condition,,,12196,0,,,4,,
168,dashboard_1,Tuolumne,All,With chronic condition,,,21506,424.29,,,18,,
169,dashboard_1,Ventura,All,With chronic condition,,,284977,133.88,,,14,,
170,dashboard_1,Ventura,All,All,,,549449,30,,,8,,
171,dashboard_1,Ventura,All,No chronic condition,,,264472,0,,,4,,
172,dashboard_1,Yolo,All,No chronic condition,,,75874,0,,,4,,
173,dashboard_1,Yolo,All,With chronic condition,,,69682,50,,,13,,
174,dashboard_1,Yolo,All,All,,,145556,15,,,8,,
175,dashboard_1,Yuba,All,No chronic condition,,,26494,0,,,5,,
176,dashboard_1,Yuba,All,All,,,53125,0,,,9,,
177,dashboard_1,Yuba,All,With chronic condition,,,26631,30,,,16,,
178,dashboard_1,Mariposa,"All, Excluding Medi-Cal",With chronic condition,,,4823,757.95,,,17,,
179,dashboard_1,Mariposa,"All, Excluding Medi-Cal",No chronic condition,,,2242,91.51,,,4,,
180,dashboard_1,Mariposa,"All, Excluding Medi-Cal",All,,,7065,435.49,,,11,,
181,dashboard_1,Fresno,"All, Excluding Medi-Cal",No chronic condition,,,141108,40.76,,,4,,
182,dashboard_1,Fresno,"All, Excluding Medi-Cal",With chronic condition,,,212545,314.03,,,13,,
183,dashboard_1,Fresno,"All, Excluding Medi-Cal",All,,,353653,149.81,,,8,,
184,dashboard_1,Tehama,"All, Excluding Medi-Cal",All,,,19678,515.66,,,11,,
185,dashboard_1,Alpine,"All, Excluding Medi-Cal",No chronic condition,,,151,190.97,,,4,,
186,dashboard_1,Alpine,"All, Excluding Medi-Cal",All,,,431,492.14,,,9,,
187,dashboard_1,Tehama,"All, Excluding Medi-Cal",With chronic condition,,,14014,718.99,,,16,,
188,dashboard_1,Tehama,"All, Excluding Medi-Cal",No chronic condition,,,5664,161.63,,,3,,
189,dashboard_1,Alpine,"All, Excluding Medi-Cal",With chronic condition,,,280,807.13,,,15,,
190,dashboard_1,Modoc,"All, Excluding Medi-Cal",All,,,2923,764.83,,,11,,
191,dashboard_1,Alameda,"All, Excluding Medi-Cal",With chronic condition,,,406138,150,,,13,,
192,dashboard_1,Alameda,"All, Excluding Medi-Cal",No chronic condition,,,468544,20,,,5,,
193,dashboard_1,Alameda,"All, Excluding Medi-Cal",All,,,874682,50,,,7,,
194,dashboard_1,Modoc,"All, Excluding Medi-Cal",No chronic condition,,,801,250.4,,,3,,
195,dashboard_1,Modoc,"All, Excluding Medi-Cal",With chronic condition,,,2122,1072.35,,,15,,
196,dashboard_1,San Benito,"All, Excluding Medi-Cal",All,,,27661,176.28,,,8,,
197,dashboard_1,San Benito,"All, Excluding Medi-Cal",With chronic condition,,,15009,492.51,,,14,,
198,dashboard_1,San Benito,"All, Excluding Medi-Cal",No chronic condition,,,12652,40,,,4,,
199,dashboard_1,Humboldt,"All, Excluding Medi-Cal",All,,,52947,396.25,,,9,,
200,dashboard_1,Humboldt,"All, Excluding Medi-Cal",With chronic condition,,,33831,629.6,,,14,,
201,dashboard_1,Humboldt,"All, Excluding Medi-Cal",No chronic condition,,,19116,110,,,3,,
202,dashboard_1,Inyo,"All, Excluding Medi-Cal",With chronic condition,,,6064,817.31,,,14,,
203,dashboard_1,Inyo,"All, Excluding Medi-Cal",No chronic condition,,,3600,115.01,,,4,,
204,dashboard_1,Inyo,"All, Excluding Medi-Cal",All,,,9664,486.14,,,9,,
205,dashboard_1,Tulare,"All, Excluding Medi-Cal",No chronic condition,,,51947,60,,,4,,
206,dashboard_1,Tulare,"All, Excluding Medi-Cal",All,,,146008,215.07,,,9,,
207,dashboard_1,Tulare,"All, Excluding Medi-Cal",With chronic condition,,,94061,371.27,,,14,,
208,dashboard_1,Plumas,"All, Excluding Medi-Cal",No chronic condition,,,2310,216.95,,,4,,
209,dashboard_1,Plumas,"All, Excluding Medi-Cal",All,,,7729,696.59,,,11,,
210,dashboard_1,Plumas,"All, Excluding Medi-Cal",With chronic condition,,,5419,1080.78,,,15.5,,
211,dashboard_1,Madera,"All, Excluding Medi-Cal",All,,,54972,141.78,,,8,,
212,dashboard_1,Madera,"All, Excluding Medi-Cal",With chronic condition,,,34411,280,,,13,,
213,dashboard_1,Madera,"All, Excluding Medi-Cal",No chronic condition,,,20561,45,,,4,,
214,dashboard_1,Lake,"All, Excluding Medi-Cal",All,,,24180,668.69,,,10,,
215,dashboard_1,Lake,"All, Excluding Medi-Cal",With chronic condition,,,17435,1138.72,,,16,,
216,dashboard_1,Lake,"All, Excluding Medi-Cal",No chronic condition,,,6745,126.21,,,3,,
217,dashboard_1,Santa Clara,"All, Excluding Medi-Cal",All,,,936777,60,,,7,,
218,dashboard_1,Santa Clara,"All, Excluding Medi-Cal",No chronic condition,,,511745,20,,,5,,
219,dashboard_1,Santa Clara,"All, Excluding Medi-Cal",With chronic condition,,,425032,185,,,13,,
220,dashboard_1,Shasta,"All, Excluding Medi-Cal",All,,,80181,466.27,,,11,,
221,dashboard_1,Shasta,"All, Excluding Medi-Cal",With chronic condition,,,52965,727.81,,,17,,
222,dashboard_1,Shasta,"All, Excluding Medi-Cal",No chronic condition,,,27216,146.57,,,4,,
223,dashboard_1,San Bernardino,"All, Excluding Medi-Cal",All,,,850109,45.8,,,6,,
224,dashboard_1,San Bernardino,"All, Excluding Medi-Cal",No chronic condition,,,421750,20,,,3,,
225,dashboard_1,San Bernardino,"All, Excluding Medi-Cal",With chronic condition,,,428359,110,,,11,,
226,dashboard_1,Siskiyou,"All, Excluding Medi-Cal",All,,,19653,646.42,,,10,,
227,dashboard_1,Siskiyou,"All, Excluding Medi-Cal",No chronic condition,,,5662,190.89,,,3,,
228,dashboard_1,Siskiyou,"All, Excluding Medi-Cal",With chronic condition,,,13991,1005.72,,,15,,
229,dashboard_1,Butte,"All, Excluding Medi-Cal",No chronic condition,,,28120,125,,,4,,
230,dashboard_1,Butte,"All, Excluding Medi-Cal",All,,,84341,461.02,,,11,,
231,dashboard_1,Butte,"All, Excluding Medi-Cal",With chronic condition,,,56221,722.84,,,18,,
232,dashboard_1,Nevada,"All, Excluding Medi-Cal",No chronic condition,,,18400,103,,,4,,
233,dashboard_1,Nevada,"All, Excluding Medi-Cal",With chronic condition,,,31139,639.54,,,17,,
234,dashboard_1,Santa Cruz,"All, Excluding Medi-Cal",With chronic condition,,,73537,408.62,,,15,,
235,dashboard_1,Santa Cruz,"All, Excluding Medi-Cal",All,,,131148,175,,,10,,
236,dashboard_1,Nevada,"All, Excluding Medi-Cal",All,,,49539,382.65,,,10,,
237,dashboard_1,Santa Cruz,"All, Excluding Medi-Cal",No chronic condition,,,57611,40,,,5,,
238,dashboard_1,Ventura,"All, Excluding Medi-Cal",All,,,392417,160,,,8,,
239,dashboard_1,Ventura,"All, Excluding Medi-Cal",With chronic condition,,,227237,345.68,,,15,,
240,dashboard_1,Ventura,"All, Excluding Medi-Cal",No chronic condition,,,165180,60,,,4,,
241,dashboard_1,San Francisco,"All, Excluding Medi-Cal",All,,,431410,75,,,8,,
242,dashboard_1,Los Angeles,"All, Excluding Medi-Cal",No chronic condition,,,2010217,30,,,4,,
243,dashboard_1,San Francisco,"All, Excluding Medi-Cal",No chronic condition,,,218371,30,,,5,,
244,dashboard_1,Los Angeles,"All, Excluding Medi-Cal",With chronic condition,,,2295549,150,,,14,,
245,dashboard_1,San Francisco,"All, Excluding Medi-Cal",With chronic condition,,,213039,195,,,13,,
246,dashboard_1,Los Angeles,"All, Excluding Medi-Cal",All,,,4305766,70,,,8,,
247,dashboard_1,Marin,"All, Excluding Medi-Cal",No chronic condition,,,74625,55,,,5,,
248,dashboard_1,Riverside,"All, Excluding Medi-Cal",With chronic condition,,,521349,144,,,13,,
249,dashboard_1,Marin,"All, Excluding Medi-Cal",All,,,155216,145,,,9,,
250,dashboard_1,Marin,"All, Excluding Medi-Cal",With chronic condition,,,80591,333.23,,,15,,
251,dashboard_1,Riverside,"All, Excluding Medi-Cal",All,,,989064,60,,,7,,
252,dashboard_1,Riverside,"All, Excluding Medi-Cal",No chronic condition,,,467715,25,,,4,,
253,dashboard_1,Napa,"All, Excluding Medi-Cal",All,,,79647,95,,,9,,
254,dashboard_1,Napa,"All, Excluding Medi-Cal",No chronic condition,,,37069,30,,,4,,
255,dashboard_1,Napa,"All, Excluding Medi-Cal",With chronic condition,,,42578,250,,,15,,
256,dashboard_1,Yolo,"All, Excluding Medi-Cal",With chronic condition,,,54588,165,,,13,,
257,dashboard_1,Yolo,"All, Excluding Medi-Cal",All,,,105182,70,,,7,,
258,dashboard_1,Yolo,"All, Excluding Medi-Cal",No chronic condition,,,50594,30,,,4,,
259,dashboard_1,Calaveras,"All, Excluding Medi-Cal",No chronic condition,,,6725,95,,,4,,
260,dashboard_1,Calaveras,"All, Excluding Medi-Cal",With chronic condition,,,14920,709.93,,,17,,
261,dashboard_1,Calaveras,"All, Excluding Medi-Cal",All,,,21645,458.88,,,11,,
262,dashboard_1,Sutter,"All, Excluding Medi-Cal",All,,,35608,392.1,,,10,,
263,dashboard_1,Sutter,"All, Excluding Medi-Cal",With chronic condition,,,23786,611.07,,,16,,
264,dashboard_1,Sutter,"All, Excluding Medi-Cal",No chronic condition,,,11822,94.71,,,4,,
265,dashboard_1,Colusa,"All, Excluding Medi-Cal",With chronic condition,,,5410,676.07,,,15,,
266,dashboard_1,Colusa,"All, Excluding Medi-Cal",No chronic condition,,,2996,127.59,,,4,,
267,dashboard_1,Colusa,"All, Excluding Medi-Cal",All,,,8406,446.71,,,9,,
268,dashboard_1,San Diego,"All, Excluding Medi-Cal",All,,,1416156,90,,,7,,
269,dashboard_1,San Diego,"All, Excluding Medi-Cal",No chronic condition,,,687390,40,,,4,,
270,dashboard_1,San Diego,"All, Excluding Medi-Cal",With chronic condition,,,728766,220,,,13,,
271,dashboard_1,Contra Costa,"All, Excluding Medi-Cal",With chronic condition,,,311128,160,,,14,,
272,dashboard_1,Contra Costa,"All, Excluding Medi-Cal",All,,,640023,60,,,8,,
273,dashboard_1,Contra Costa,"All, Excluding Medi-Cal",No chronic condition,,,328895,20,,,5,,
274,dashboard_1,Lassen,"All, Excluding Medi-Cal",No chronic condition,,,4378,140,,,3,,
275,dashboard_1,Lassen,"All, Excluding Medi-Cal",All,,,11634,542.4,,,9,,
276,dashboard_1,Lassen,"All, Excluding Medi-Cal",With chronic condition,,,7256,886.88,,,15,,
277,dashboard_1,Merced,"All, Excluding Medi-Cal",With chronic condition,,,52456,495.53,,,14,,
278,dashboard_1,Merced,"All, Excluding Medi-Cal",No chronic condition,,,34751,65.95,,,4,,
279,dashboard_1,Merced,"All, Excluding Medi-Cal",All,,,87207,260,,,8,,
280,dashboard_1,Sonoma,"All, Excluding Medi-Cal",With chronic condition,,,152292,230,,,14,,
281,dashboard_1,Sonoma,"All, Excluding Medi-Cal",No chronic condition,,,129202,30,,,4,,
282,dashboard_1,Glenn,"All, Excluding Medi-Cal",With chronic condition,,,7438,768.94,,,17,,
283,dashboard_1,Sonoma,"All, Excluding Medi-Cal",All,,,281494,95,,,8,,
284,dashboard_1,Glenn,"All, Excluding Medi-Cal",No chronic condition,,,3797,133.74,,,4,,
285,dashboard_1,Glenn,"All, Excluding Medi-Cal",All,,,11235,483.5,,,10,,
286,dashboard_1,San Luis Obispo,"All, Excluding Medi-Cal",All,,,138809,316.29,,,9,,
287,dashboard_1,Sierra,"All, Excluding Medi-Cal",All,,,1220,587.04,,,9,,
288,dashboard_1,San Luis Obispo,"All, Excluding Medi-Cal",With chronic condition,,,84365,552.22,,,15,,
289,dashboard_1,San Luis Obispo,"All, Excluding Medi-Cal",No chronic condition,,,54444,85.82,,,4,,
290,dashboard_1,Sierra,"All, Excluding Medi-Cal",No chronic condition,,,398,241.1,,,4,,
291,dashboard_1,Sierra,"All, Excluding Medi-Cal",With chronic condition,,,822,867.25,,,14,,
292,dashboard_1,All,"All, Excluding Medi-Cal",No chronic condition,,,8313660,30,,,4,,
293,dashboard_1,All,"All, Excluding Medi-Cal",With chronic condition,,,9268895,209.75,,,13,,
294,dashboard_1,San Joaquin,"All, Excluding Medi-Cal",All,,,359443,60,,,7,,
295,dashboard_1,San Joaquin,"All, Excluding Medi-Cal",No chronic condition,,,174964,20,,,4,,
296,dashboard_1,San Joaquin,"All, Excluding Medi-Cal",With chronic condition,,,184479,158,,,13,,
297,dashboard_1,All,"All, Excluding Medi-Cal",All,,,17582555,83.88,,,8,,
298,dashboard_1,El Dorado,"All, Excluding Medi-Cal",No chronic condition,,,45832,44.66,,,4,,
299,dashboard_1,Imperial,"All, Excluding Medi-Cal",No chronic condition,,,22148,15,,,3,,
300,dashboard_1,El Dorado,"All, Excluding Medi-Cal",All,,,107150,140,,,8,,
301,dashboard_1,El Dorado,"All, Excluding Medi-Cal",With chronic condition,,,61318,325,,,14,,
302,dashboard_1,Imperial,"All, Excluding Medi-Cal",With chronic condition,,,35918,442.11,,,15,,
303,dashboard_1,Imperial,"All, Excluding Medi-Cal",All,,,58066,155.78,,,8,,
304,dashboard_1,Orange,"All, Excluding Medi-Cal",No chronic condition,,,741414,40,,,4,,
305,dashboard_1,Yuba,"All, Excluding Medi-Cal",All,,,27992,255.73,,,9,,
306,dashboard_1,Yuba,"All, Excluding Medi-Cal",With chronic condition,,,17068,500.9,,,15,,
307,dashboard_1,Yuba,"All, Excluding Medi-Cal",No chronic condition,,,10924,50,,,4,,
308,dashboard_1,Orange,"All, Excluding Medi-Cal",All,,,1505662,97,,,7,,
309,dashboard_1,Orange,"All, Excluding Medi-Cal",With chronic condition,,,764248,225,,,14,,
310,dashboard_1,Solano,"All, Excluding Medi-Cal",With chronic condition,,,127072,125,,,13,,
311,dashboard_1,Solano,"All, Excluding Medi-Cal",All,,,243768,52.32,,,8,,
312,dashboard_1,Solano,"All, Excluding Medi-Cal",No chronic condition,,,116696,20,,,4,,
313,dashboard_1,Amador,"All, Excluding Medi-Cal",With chronic condition,,,12530,470.01,,,16,,
314,dashboard_1,Amador,"All, Excluding Medi-Cal",No chronic condition,,,7046,50,,,4,,
315,dashboard_1,Amador,"All, Excluding Medi-Cal",All,,,19576,269.74,,,10,,
316,dashboard_1,Del Norte,"All, Excluding Medi-Cal",With chronic condition,,,7212,762.07,,,16,,
317,dashboard_1,Kings,"All, Excluding Medi-Cal",All,,,43713,200,,,9,,
318,dashboard_1,Del Norte,"All, Excluding Medi-Cal",No chronic condition,,,3545,186.72,,,4,,
319,dashboard_1,Del Norte,"All, Excluding Medi-Cal",All,,,10757,536.51,,,10,,
320,dashboard_1,Kings,"All, Excluding Medi-Cal",With chronic condition,,,28431,349.14,,,14,,
321,dashboard_1,Kings,"All, Excluding Medi-Cal",No chronic condition,,,15282,60,,,3,,
322,dashboard_1,Santa Barbara,"All, Excluding Medi-Cal",No chronic condition,,,73001,100,,,4,,
323,dashboard_1,Santa Barbara,"All, Excluding Medi-Cal",All,,,173494,321.42,,,9,,
324,dashboard_1,Santa Barbara,"All, Excluding Medi-Cal",With chronic condition,,,100493,578.94,,,15,,
325,dashboard_1,Sacramento,"All, Excluding Medi-Cal",With chronic condition,,,420183,125,,,13,,
326,dashboard_1,Sacramento,"All, Excluding Medi-Cal",No chronic condition,,,382985,20,,,4,,
327,dashboard_1,Sacramento,"All, Excluding Medi-Cal",All,,,803168,60,,,7,,
328,dashboard_1,Mendocino,"All, Excluding Medi-Cal",No chronic condition,,,9929,133.74,,,3,,
329,dashboard_1,Mendocino,"All, Excluding Medi-Cal",All,,,33089,565.34,,,10,,
330,dashboard_1,Mendocino,"All, Excluding Medi-Cal",With chronic condition,,,23160,879.76,,,15,,
331,dashboard_1,Stanislaus,"All, Excluding Medi-Cal",With chronic condition,,,123765,200,,,13,,
332,dashboard_1,Stanislaus,"All, Excluding Medi-Cal",All,,,228397,94.71,,,7,,
